Broken,ID,ErrorModel Creation Failed,1162:2721,"{'name': ['The name must be unique across models and model number. '], 'model_number': ['The model number must be unique across models and name. ']}"
Model Creation Failed,1162:2918,"{'name': ['The name must be unique across models and model number. '], 'model_number': ['The model number must be unique across models and name. ']}"
Model Creation Failed,1162:2549,"{'name': ['The name must be unique across models and model number. '], 'model_number': ['The model number must be unique across models and name. ']}"
Model Creation Failed,1162:4788,"{'name': ['The name must be unique across models and model number. '], 'model_number': ['The model number must be unique across models and name. ']}"
Model Creation Failed,1162:2914,"{'name': ['The name must be unique across models and model number. '], 'model_number': ['The model number must be unique across models and name. ']}"
Model Creation Failed,1162:2917,"{'name': ['The name must be unique across models and model number. '], 'model_number': ['The model number must be unique across models and name. ']}"
Model Creation Failed,1162:2722,"{'name': ['The name must be unique across models and model number. '], 'model_number': ['The model number must be unique across models and name. ']}"
Model Creation Failed,1162:2547,"{'name': ['The name must be unique across models and model number. '], 'model_number': ['The model number must be unique across models and name. ']}"
Model Creation Failed,1162:2724,"{'name': ['The name must be unique across models and model number. '], 'model_number': ['The model number must be unique across models and name. ']}"
Model Creation Failed,1162:2913,"{'name': ['The name must be unique across models and model number. '], 'model_number': ['The model number must be unique across models and name. ']}"
Model Creation Failed,1162:2916,"{'name': ['The name must be unique across models and model number. '], 'model_number': ['The model number must be unique across models and name. ']}"
Model Creation Failed,1162:2725,"{'name': ['The name must be unique across models and model number. '], 'model_number': ['The model number must be unique across models and name. ']}"
Model Creation Failed,1005:3551,"{'name': ['The name must be unique across models and model number. '], 'model_number': ['The model number must be unique across models and name. ']}"
Model Creation Failed,1005:3552,"{'name': ['The name must be unique across models and model number. '], 'model_number': ['The model number must be unique across models and name. ']}"
Model Creation Failed,1005:3550,"{'name': ['The name must be unique across models and model number. '], 'model_number': ['The model number must be unique across models and name. ']}"
No Model Data Found,4871,"No type ID found in test data{'Result': {'user': 'JamesB', 'visual': 'P', 'earthbond': {'testcurrent': '200mA', 'resistance': '0.12 OHM', 'pass': 'P', 'limit': '0.20 OHM'}, 'ins1': {'testvoltage': '1   >299 MEG P'}, 'load': {'load': '60 VA', 'pass': 'P', 'limit': '3000 VA', 'pncontinuity': 'P'}, 'current': {'current': '0.3 A', 'pass': 'P', 'limit': '13.0 A'}, 'leakage': {'current': '0.43 mA', 'pass': 'P', 'limit': '0.75 mA'}}, 'file': 'files/090526.FLK', 'testnum': '60', 'OverallResult': 'Pass', 'date': '2026-05-08', 'id': '4871', 'testmode': '108 AUTO', 'site': '4067', 'site1': 'STT', 'site2': '', 'user': 'JamesB', 'location': '4067', 'TypeSnipeID': 1, 'nextdate': '2027-05-8'}"
